Type,Subtype,Month,Email Subject,Date,time,Recipients,opened,open_rate %,clicked,click_rate,click_to_open_rate,unsubscribed,unsub_rate,public
Value,Value,Jan 2026,What I’m focusing on in 2026,1/14/2026,15:35:02,19227,6502,33.82%,159,0.83%,2.45%,44,0.23,FALSE
Value,Value,Jan 2026,I took 5 days off for the first time in 4 years...,1/10/2026,16:30:03,19165,6849,35.74%,202,1.05%,2.95%,46,0.24,FALSE
Value,Value,Jan 2026,Three videos to kick-start your 2026,1/8/2026,16:15:06,19095,6527,34.18%,599,3.14%,9.18%,30,0.16,FALSE
Value,Value,Jan 2026,My 2026 AI Predictions:,1/6/2026,15:35:10,19024,7552,39.70%,273,1.44%,3.61%,46,0.24,TRUE
Value,Value,Jan 2026,One of my big lessons of 2025,1/3/2026,15:35:08,18919,8516,45.01%,269,1.42%,3.16%,53,0.28,FALSE
Value,Value,Jan 2026,Happy New Year!,1/1/2026,15:45:03,18861,6574,34.85%,262,1.39%,3.99%,44,0.23,FALSE
Value,Value,Dec 2025,How my 2025 AI predictions turned out,12/30/2025,15:40:06,18783,6591,35.09%,256,1.36%,3.88%,26,0.14,FALSE
Value,Value,Dec 2025,I made a mistake in my business,12/27/2025,15:45:04,18659,8715,46.71%,266,1.43%,3.05%,59,0.32,FALSE
Value,Value,Dec 2025,A personal holiday message,12/25/2025,20:40:22,18663,6811,36.49%,260,1.39%,3.82%,30,0.16,FALSE
Value,Value,Dec 2025,4 pieces of advice I’d give my 20 year old self,12/23/2025,15:30:09,18629,6356,34.12%,354,1.90%,5.57%,33,0.18,FALSE
Livestream,Livestream,Dec 2025,The essential AI skills for 2026,12/18/2025,15:35:03,18354,6207,33.82%,637,3.47%,10.26%,18,0.1,FALSE
Value,Value,Dec 2025,I just saw the future in Tokyo,12/16/2025,16:00:33,18360,7770,42.32%,24,0.13%,0.31%,35,0.19,TRUE
Value,Value,Dec 2025,Little AI trick to organize your messy files,12/13/2025,15:30:08,18357,7259,39.54%,14,0.08%,0.19%,33,0.18,FALSE
Value,Value,Dec 2025,I might as well give up and perish,12/11/2025,15:25:06,18400,6722,36.53%,21,0.11%,0.31%,53,0.29,FALSE
Value,Value,Dec 2025,I turned 30 years old’,12/9/2025,16:55:10,18416,8231,44.69%,33,0.18%,0.40%,43,0.23,FALSE
Value,Value,Dec 2025,I want to make you a free gift,12/6/2025,15:35:03,18388,6535,35.54%,1106,6.01%,16.92%,23,0.13,FALSE
Value,Value,Dec 2025,How to get a job in today’s economy,12/4/2025,15:30:08,18399,5882,31.97%,395,2.15%,6.72%,31,0.17,TRUE
Post-Sales,Agent Breakthrough Post Launch Sales Email,Nov 2025,Last chance’,11/25/2025,3:30:05,17805,5778,32.45%,534,3.00%,9.24%,85,0.48,FALSE
Post-Sales,Agent Breakthrough Post Launch Sales Email,Nov 2025,What you get by joining Agent Breakthrough,11/25/2025,2:30:08,12753,1555,12.19%,72,0.56%,4.63%,18,0.14,FALSE
Post-Sales,Agent Breakthrough Post Launch Sales Email,Nov 2025,What people say about our programs,11/25/2025,2:00:13,17831,5654,31.71%,289,1.62%,5.11%,44,0.25,FALSE
Post-Sales,Agent Breakthrough Post Launch Sales Email,Nov 2025,Answering your questions,11/24/2025,23:00:09,17851,5713,32.00%,262,1.47%,4.59%,29,0.16,FALSE
Post-Sales,Agent Breakthrough Post Launch Sales Email,Nov 2025,Are AI agents still worth the hype?,11/24/2025,17:36:03,17889,5875,32.84%,332,1.86%,5.65%,29,0.16,FALSE
Post-Sales,Agent Breakthrough Post Launch Sales Email,Nov 2025,This ends tonight,11/24/2025,14:10:12,17933,5506,30.70%,457,2.55%,8.30%,38,0.21,FALSE
Post-Sales,Agent Breakthrough Post Launch Sales Email,Nov 2025,The story behind Agent Breakthrough,11/23/2025,12:32:41,13265,1922,14.49%,88,0.66%,4.58%,14,0.11,FALSE
Post-Sales,Agent Breakthrough Post Launch Sales Email,Nov 2025,Doors close tomorrow,11/23/2025,17:31:15,18006,5888,32.70%,575,3.19%,9.77%,42,0.23,FALSE
Post-Sales,Agent Breakthrough Post Launch Sales Email,Nov 2025,The real reason I’ve launched Agent Breakthrough,11/22/2025,15:30:07,18052,6114,33.87%,509,2.82%,8.33%,29,0.16,FALSE
Launch Email (Workshop),Agent Breakthrough Launch Email,Nov 2025,Workshop The fastest way to launch your first working AI agent (Agent Breakthrough),11/21/2025,16:00:41,18108,5942,32.81%,844,4.66%,14.20%,28,0.15,FALSE
Pre-Sales,Agent Breakthrough Hype Email,Nov 2025,Heads up...,11/20/2025,23:41:36,18523,8863,47.85%,251,1.36%,2.83%,45,0.24,FALSE
Value,Value,Nov 2025,6 biggest mistakes people make when building AI agents,11/18/2025,16:08:11,18530,6394,34.51%,376,2.03%,5.88%,30,0.16,FALSE
Value,Value,Nov 2025,Read this if you feel overwhelmed by AI,11/15/2025,15:35:01,18507,6810,36.80%,264,1.43%,3.88%,29,0.16,FALSE
Value,Value,Nov 2025,Example of an AI agent businesses will pay $10K for,11/13/2025,16:32:54,18497,6796,36.74%,708,3.83%,10.42%,30,0.16,FALSE
Value,Value,Nov 2025,#1 takeaway from the Hubspot conference,11/1/2025,14:30:17,18214,8492,46.62%,251,1.38%,2.96%,40,0.22,FALSE
Livestream,Livestream,Oct 2025,Last Call for Hackathon!,10/31/2025,15:15:11,18206,6397,35.14%,358,1.97%,5.60%,30,0.16,FALSE
Value,Value,Oct 2025,Can I get your opinion?,10/26/2025,17:30:03,18108,6715,37.08%,761,4.20%,11.33%,55,0.3,FALSE
Livestream,Livestream,Oct 2025,I’m hosting a hackathon!,10/25/2025,16:09:27,18109,6924,38.24%,475,2.62%,6.86%,33,0.18,FALSE
Launch Email (Cohort),Cohort 4 Launch Email,Oct 2025,Bootcamp Your private invite to join the AI Agent Bootcamp (Cohort 4),10/21/2025,15:00:36,7024,3317,47.22%,1077,15.33%,32.47%,15,0.21,FALSE
Pre-Sales,Cohort 4 Hype/Sales Email,Oct 2025,Urgent message about tomorrow,10/20/2025,14:30:12,7014,3093,44.10%,41,0.58%,1.33%,22,0.31,FALSE
Pre-Sales,Cohort 4 Hype/Sales Email,Oct 2025,Is AI in a bubble??,10/19/2025,14:35:05,10823,3148,29.09%,44,0.41%,1.40%,25,0.23,FALSE
Pre-Sales,Cohort 4 Hype/Sales Email,Oct 2025,Is AI in a bubble??,10/19/2025,14:25:02,7234,3018,41.72%,15,0.21%,0.50%,9,0.12,FALSE
Livestream,Cohort 4 Livestream,Oct 2025,How to build your first AI agent,10/17/2025,14:30:14,17951,8165,45.48%,790,4.40%,9.68%,30,0.17,FALSE
Value,Value,Oct 2025,Me and the YouTube CEO,10/16/2025,14:30:10,17935,7425,41.40%,494,2.75%,6.65%,24,0.13,FALSE
Value,Value,Oct 2025,My thoughts on Sora 2,10/14/2025,14:30:15,17926,8512,47.48%,225,1.26%,2.64%,51,0.28,FALSE
Post-Sales,Freelancing Post Launch Sales Email,Oct 2025,Last chance,10/6/2025,2:30:05,17727,6168,34.79%,594,3.35%,9.63%,98,0.55,FALSE
Post-Sales,Freelancing Post Launch Sales Email,Oct 2025,Three hours left...,10/6/2025,1:00:04,17758,5819,32.77%,382,2.15%,6.56%,41,0.23,FALSE
Post-Sales,Freelancing Post Launch Sales Email,Oct 2025,Answering your questions,10/5/2025,20:00:33,17801,6315,35.48%,400,2.25%,6.33%,49,0.28,FALSE
Post-Sales,Freelancing Post Launch Sales Email,Oct 2025,Doors closing tonight!,10/5/2025,14:30:05,17995,6226,34.60%,635,3.53%,10.20%,41,0.23,TRUE
Post-Sales,Freelancing Post Launch Sales Email,Oct 2025,Who the Freelance Accelerator is NOT for:,10/4/2025,14:30:14,17851,6364,35.65%,471,2.64%,7.40%,45,0.25,FALSE
Post-Sales,Freelancing Post Launch Sales Email,Oct 2025,The silent danger of your job,10/3/2025,17:15:05,17883,6521,36.46%,562,3.14%,8.62%,33,0.18,FALSE
Launch Email (Workshop),Feelancing Launch,Oct 2025,Workshop Just launched (Freelance Accelerator),10/2/2025,14:00:48,17927,6664,37.17%,1453,8.11%,21.80%,40,0.22,FALSE
Pre-Sales,Freelancing Hype/Sales Email,Oct 2025,Look out for tomorrow,10/1/2025,14:30:13,18039,6457,35.79%,219,1.21%,3.39%,29,0.16,FALSE
Pre-Sales,Freelancing Hype/Sales Email,Sep 2025,Freelancing in the age of AI?,9/30/2025,14:30:06,18061,8618,47.72%,223,1.23%,2.59%,38,0.21,FALSE
Value,Value,Sep 2025,My first YouTube video,9/28/2025,14:40:02,18103,8544,47.20%,226,1.25%,2.65%,53,0.29,FALSE
Value,Value,Sep 2025,How I survived financially after quitting my job at Meta,9/26/2025,20:55:02,18083,7170,39.65%,218,1.21%,3.04%,29,0.16,FALSE
Value,Value,Sep 2025,How to use AI without compromising your company’s privacy,9/20/2025,14:30:04,18076,6807,37.66%,222,1.23%,3.26%,163,0.9,FALSE
Launch Email (Cohort),Cohort 3 Launch Email,Sep 2025,Bootcamp Your private invite to join the AI Agent Bootcamp (Cohort 3),9/16/2025,15:00:31,6677,3515,52.64%,1294,19.38%,36.81%,20,0.3,FALSE
Pre-Sales,Cohort 3 Hype/Sales Email,Sep 2025,A quick heads up for tomorrow,9/15/2025,16:46:19,11268,3520,31.24%,241,2.14%,6.85%,43,0.38,FALSE
Pre-Sales,Cohort 3 Hype/Sales Email,Sep 2025,A quick heads up for tomorrow,9/15/2025,16:30:13,6444,3321,51.54%,16,0.25%,0.48%,25,0.39,FALSE
Livestream,Cohort 3 Livestream,Sep 2025,For anyone who wants to build AI agents,9/13/2025,14:30:07,17968,6761,37.63%,648,3.61%,9.58%,38,0.21,FALSE
Pre-Sales,Cohort 3 Hype/Sales Email,Sep 2025,Should you be building AI Agents?,9/12/2025,15:25:02,17968,6640,36.95%,644,3.58%,9.70%,23,0.13,FALSE
Pre-Sales,Cohort 3 Hype/Sales Email,Sep 2025,Quick update on the AI Agent Bootcamp,9/11/2025,14:30:15,6626,3381,51.03%,405,6.11%,11.98%,21,0.32,FALSE
Pre-Sales,Cohort 3 Hype/Sales Email,Sep 2025,The biggest problem people face with AI agents,9/10/2025,14:45:03,6578,3212,48.83%,201,3.06%,6.26%,17,0.26,FALSE
Pre-Sales,Cohort 3 Hype/Sales Email,Sep 2025,The biggest problem people face with AI agents,9/10/2025,14:30:12,11206,3302,29.47%,66,0.59%,2.00%,17,0.15,FALSE
Value,Value,Sep 2025,The AI Agent that helps me speed-learn topics,9/8/2025,14:30:20,11327,3470,30.63%,125,1.10%,3.60%,25,0.22,FALSE
Value,Value,Sep 2025,The AI Agent that helps me speed-learn topics,9/8/2025,14:20:04,6438,3214,49.92%,206,3.20%,6.41%,13,0.2,FALSE
Livestream,Livestream,Sep 2025,Livestream Rescheduled: The Future of Vibe Coding,9/5/2025,3:03:49,17893,6905,38.59%,652,3.64%,9.44%,31,0.17,FALSE
Value,Value,Sep 2025,Update on Today’s Livestream: The Future of Vibe Coding,9/5/2025,1:12:57,17915,8734,48.75%,224,1.25%,2.56%,59,0.33,FALSE
Value,Value,Sep 2025,The Future of Vibe Coding Livestream,9/4/2025,0:29:59,17949,8970,49.97%,593,3.30%,6.61%,39,0.22,FALSE
Value,Value,Sep 2025,The Future of Vibe Coding Livestream,9/3/2025,22:05:55,17958,9036,50.32%,697,3.88%,7.71%,28,0.16,FALSE
Value,Value,Sep 2025,Is prompt engineering dead?,9/3/2025,14:35:03,11475,3620,31.55%,184,1.60%,5.08%,15,0.13,FALSE
Value,Value,Sep 2025,Is prompt engineering dead?,9/3/2025,14:25:04,6480,3286,50.71%,379,5.85%,11.53%,8,0.12,FALSE
Post-Sales,App Sprint Post Launch Sales Email,Sep 2025,Two hours left,9/1/2025,2:00:03,897,699,77.93%,156,17.39%,22.32%,2,0.22,FALSE
Post-Sales,App Sprint Post Launch Sales Email,Sep 2025,Your questions answered,9/1/2025,0:00:03,17089,6372,37.29%,605,3.54%,9.49%,63,0.37,FALSE
Post-Sales,App Sprint Post Launch Sales Email,Aug 2025,What people say about Lonely Octopus,8/31/2025,14:15:09,17171,6052,35.25%,416,2.42%,6.87%,46,0.27,FALSE
Post-Sales,App Sprint Post Launch Sales Email,Aug 2025,This ends tomorrow,8/31/2025,0:15:02,17238,6212,36.04%,594,3.45%,9.56%,47,0.27,FALSE
Post-Sales,App Sprint Post Launch Sales Email,Aug 2025,A sneak peek at the types of apps you can launch with AI,8/30/2025,14:45:09,17268,6092,35.28%,507,2.94%,8.32%,30,0.17,FALSE
Post-Sales,App Sprint Post Launch Sales Email,Aug 2025,Why I’ve launched the AI App Sprint,8/29/2025,14:15:04,17359,6233,35.91%,587,3.38%,9.42%,49,0.28,FALSE
Post-Sales,App Sprint Post Launch Sales Email,Aug 2025,In case you missed it...,8/28/2025,21:24:33,17654,7022,39.78%,888,5.03%,12.65%,46,0.26,FALSE
Launch Email (Workshop),App Sprint Hype/Sales Email,Aug 2025,AI App Sprint is now open!,8/28/2025,15:37:37,17843,6818,38.21%,1594,8.93%,23.38%,39,0.22,FALSE
Pre-Sales,App Sprint Hype/Sales Email,Aug 2025,Here’s what’s happening tomorrow,8/27/2025,14:45:05,17921,6868,38.32%,201,1.12%,2.93%,35,0.2,FALSE
Pre-Sales,App Sprint Hype/Sales Email,Aug 2025,Sharing some exciting news!,8/26/2025,14:25:04,17912,7574,42.28%,199,1.11%,2.63%,55,0.31,FALSE
Pre-Sales,App Sprint Hype/Sales Email,Aug 2025,Blows my mind I can do this with AI,8/23/2025,16:17:05,17766,7465,42.02%,212,1.19%,2.84%,35,0.2,FALSE
Value,Value,Aug 2025,Key takeaway from my first in-person event,8/19/2025,14:30:22,17458,7105,40.70%,200,1.15%,2.81%,48,0.27,FALSE
Value,Value,Aug 2025,Will Tina Huang get replaced by AI?,8/9/2025,14:45:04,16844,7268,43.15%,186,1.10%,2.56%,49,0.29,TRUE
Value,Value,Aug 2025,Revisiting my 2025 AI predictions,8/7/2025,14:25:05,16778,7980,47.56%,275,1.64%,3.45%,33,0.2,FALSE
Value,Value,Aug 2025,Why most AI startups are already dead,8/5/2025,18:50:46,16702,8538,51.12%,187,1.12%,2.19%,46,0.28,FALSE
Value,Value,Aug 2025,Your advantage against McKinsey,8/2/2025,14:30:02,16488,7199,43.66%,520,3.15%,7.22%,39,0.24,FALSE
Value,Value,Jul 2025,Meet me in Hong Kong?,7/31/2025,2:35:01,16407,6763,41.22%,503,3.07%,7.44%,57,0.35,FALSE
Livestream,Livestream,Jul 2025,How to build AI apps,7/30/2025,15:36:53,16403,6652,40.55%,709,4.32%,10.66%,30,0.18,FALSE
Value,Value,Jul 2025,My 5-step framework to automate a workflow with AI,7/19/2025,14:30:06,15885,6528,41.10%,499,3.14%,7.64%,50,0.31,TRUE
Post-Sales,Cohort 2 Post Launch Sales Email,Jul 2025,I have bad news,7/16/2025,14:30:11,11091,4128,37.22%,259,2.34%,6.27%,46,0.41,FALSE
Post-Sales,Cohort 2 Post Launch Sales Email,Jul 2025,Why I built the AI Agent Bootcamp,7/15/2025,15:30:06,11122,3562,32.03%,5,0.04%,0.14%,29,0.26,FALSE
Launch Email (Cohort),Cohort 2 Launch Email,Jul 2025,Bootcamp Your private invite to join the AI Agent Bootcamp (Cohort 2),7/15/2025,15:00:29,4612,2889,62.64%,1438,31.18%,49.78%,26,0.56,FALSE
Pre-Sales,Cohort 2 Hype/Sales Email,Jul 2025,A quick heads up for tomorrow,7/14/2025,20:45:03,4442,2727,61.39%,152,3.42%,5.57%,9,0.2,FALSE
Pre-Sales,Cohort 2 Hype/Sales Email,Jul 2025,A quick heads up for tomorrow,7/14/2025,20:45:02,11258,3682,32.71%,186,1.65%,5.05%,35,0.31,FALSE
Pre-Sales,Cohort 2 Hype/Sales Email,Jul 2025,How to study AI in under one hour a day,7/10/2025,14:45:03,11256,3541,31.46%,101,0.90%,2.85%,20,0.18,FALSE
Pre-Sales,Cohort 2 Hype/Sales Email,Jul 2025,How to study AI in under one hour a day,7/10/2025,14:15:06,4163,2308,55.44%,315,7.57%,13.65%,9,0.22,FALSE
Livestream,Cohort 2 Livestream,Jul 2025,Free workshop: My updated practical guide to AI agents,7/9/2025,14:30:14,15505,6217,40.10%,968,6.24%,15.57%,37,0.24,FALSE
Pre-Sales,Cohort 2 Hype/Sales Email,Jul 2025,The new AI job role,7/8/2025,14:25:09,11518,5171,44.89%,262,2.27%,5.07%,44,0.38,FALSE
Pre-Sales,Cohort 2 Hype/Sales Email,Jul 2025,The new AI job role,7/8/2025,14:10:21,3868,2604,67.32%,150,3.88%,5.76%,19,0.49,FALSE
Pre-Sales,Cohort 2 Hype/Sales Email,Jul 2025,What people still get wrong about AI,7/5/2025,14:25:03,11552,3909,33.84%,185,1.60%,4.73%,38,0.33,FALSE
Pre-Sales,Cohort 2 Hype/Sales Email,Jul 2025,What people still get wrong about AI,7/5/2025,14:15:06,3798,2196,57.82%,340,8.95%,15.48%,4,0.11,FALSE
Value,Value,Jul 2025,My updated 2025 AI learning roadmap,7/3/2025,16:55:05,15280,6236,40.81%,1229,8.04%,19.71%,35,0.23,FALSE
Value,Value,Jul 2025,How I use AI in my daily life,7/1/2025,14:45:03,15178,6036,39.77%,801,5.28%,13.27%,33,0.22,FALSE
Pre-Sales,Cohort 2 Hype/Sales Email,Jun 2025,Three-step roadmap to building AI agents,6/28/2025,14:30:09,11675,4339,37.16%,292,2.50%,6.73%,27,0.23,FALSE
Pre-Sales,Cohort 2 Hype/Sales Email,Jun 2025,Three-step roadmap to building AI agents,6/28/2025,14:10:07,3273,2015,61.56%,378,11.55%,18.76%,5,0.15,FALSE
Pre-Sales,Cohort 2 Hype/Sales Email,Jun 2025,The best way to get skilled at AI,6/26/2025,14:35:04,2908,1726,59.35%,98,3.37%,5.68%,7,0.24,FALSE
Pre-Sales,Cohort 2 Hype/Sales Email,Jun 2025,The best way to get skilled at AI,6/26/2025,14:25:02,11982,4537,37.87%,350,2.92%,7.71%,40,0.33,FALSE
Value,Value,Jun 2025,I went to five AI conferences. Here’s my top takeaways:,6/24/2025,14:15:06,14622,6100,41.72%,815,5.57%,13.36%,45,0.31,TRUE
Value,Value,Jun 2025,Can I ask you a question?,6/19/2025,14:20:05,14357,7940,55.30%,159,1.11%,2.00%,77,0.54,FALSE
Livestream,Livestream,Jun 2025,Are AI agents worth the hype?,5/15/2025,14:30:03,12351,4883,39.54%,491,3.98%,10.06%,30,0.24,FALSE
Value,Value,May 2025,My take on Fiverr CEO’s shocking AI email,5/13/2025,15:15:05,12308,5065,41.15%,675,5.48%,13.33%,42,0.34,FALSE
Value,Value,Apr 2025,You’ve blown me away!,4/28/2025,14:30:20,11861,6267,52.84%,696,5.87%,11.11%,112,0.94,FALSE
Post-Sales,Cohort 1 Post Launch Sales Email,Apr 2025,I have bad news,4/24/2025,15:00:28,11697,5169,44.19%,853,7.29%,16.50%,159,1.36,FALSE
Post-Sales,Cohort 1 Post Launch Sales Email,Apr 2025,5 spots left...,4/24/2025,13:18:07,2183,1296,59.37%,312,14.29%,24.07%,10,0.46,FALSE
Post-Sales,Cohort 1 Post Launch Sales Email,Apr 2025,quick heads up...,4/23/2025,20:45:10,2206,1388,62.92%,360,16.32%,25.94%,12,0.54,FALSE
Post-Sales,Cohort 1 Post Launch Sales Email,Apr 2025,Why I’m launching the AI Agent Bootcamp,4/23/2025,14:15:12,2219,1367,61.60%,334,15.05%,24.43%,14,0.63,FALSE
Post-Sales,Cohort 1 Post Launch Sales Email,Apr 2025,Here’s what’s happening tomorrow...,4/23/2025,19:11:00,9495,3082,32.46%,10,0.11%,0.32%,49,0.52,FALSE
Post-Sales,Cohort 1 Post Launch Sales Email,Apr 2025,Important update,4/22/2025,20:44:14,2256,1578,69.95%,741,32.85%,46.96%,14,0.62,FALSE
Post-Sales,Cohort 1 Post Launch Sales Email,Apr 2025,Why I’m launching the AI Agent Bootcamp,4/22/2025,20:14:05,9452,3136,33.18%,9,0.10%,0.29%,54,0.57,FALSE
Launch Email (Cohort),Cohort 1 Launch Email,Apr 2025,Bootcamp Your early-bird invite is enclosed inside (Cohort 1),4/22/2025,15:00:49,2239,1535,68.56%,110,4.91%,7.17%,7,0.31,FALSE
Pre-Sales,Cohort 1 Hype/Sales Email,Apr 2025,I need to apologize in advance,4/21/2025,15:15:10,9532,3335,34.99%,195,2.05%,5.85%,48,0.5,FALSE
Pre-Sales,Cohort 1 Hype/Sales Email,Apr 2025,I need to apologize in advance,4/21/2025,15:05:07,1869,1273,68.11%,103,5.51%,8.09%,8,0.43,FALSE
Livestream,Livestream,Apr 2025,Livestream Delayed By 24 Hours,4/19/2025,23:38:53,11254,4069,36.16%,269,2.39%,6.61%,26,0.23,FALSE
Pre-Sales,Cohort 1 Hype/Sales Email,Apr 2025,The top 3 mistakes people make building AI agents,4/18/2025,16:33:27,8563,2752,32.14%,116,1.35%,4.22%,28,0.33,TRUE
Pre-Sales,Cohort 1 Hype/Sales Email,Apr 2025,The top 3 mistakes people make building AI agents,4/18/2025,16:36:16,1345,841,62.53%,209,15.54%,24.85%,4,0.3,FALSE
Livestream,Livestream,Apr 2025,How to build AI agents,4/17/2025,16:19:10,11215,4272,38.09%,593,5.29%,13.88%,20,0.18,TRUE
Pre-Sales,Cohort 1 Hype/Sales Email,Apr 2025,Struggling to keep up with AI? Do this instead:,4/15/2025,14:25:15,9872,3332,33.75%,239,2.42%,7.17%,14,0.14,FALSE
Pre-Sales,Cohort 1 Hype/Sales Email,Apr 2025,Struggling to keep up with AI? Do this instead:,4/15/2025,14:10:03,1259,809,64.26%,87,6.91%,10.75%,2,0.16,FALSE
Livestream,Livestream,Apr 2025,Vibe Coding 101 workshop happening today,4/12/2025,14:15:04,10989,4048,36.84%,456,4.15%,11.26%,14,0.13,FALSE
Livestream,Livestream,Apr 2025,How to code using AI,4/10/2025,14:15:05,10937,4116,37.63%,413,3.78%,10.03%,18,0.16,TRUE
Pre-Sales,Cohort 1 Hype/Sales Email,Apr 2025,Leaked AI memo from Shopify CEO,4/8/2025,14:15:07,9722,3451,35.50%,722,7.43%,20.92%,16,0.16,TRUE
Pre-Sales,Cohort 1 Hype/Sales Email,Apr 2025,Leaked AI memo from Shopify CEO,4/8/2025,14:05:05,1148,817,71.17%,448,39.02%,54.83%,1,0.09,FALSE
Pre-Sales,Cohort 1 Hype/Sales Email,Apr 2025,An unconventional book on making better AI agents,4/5/2025,14:30:15,10770,4307,39.99%,438,4.07%,10.17%,33,0.31,TRUE
Pre-Sales,Cohort 1 Hype/Sales Email,Apr 2025,A tiny life change that’s made me more productive,4/3/2025,14:15:12,10754,5355,49.80%,398,3.70%,7.43%,49,0.46,TRUE
Livestream,Livestream,Mar 2025,How to choose the best LLM,3/27/2025,14:30:12,9152,3492,38.16%,348,3.80%,9.97%,32,0.35,FALSE
Pre-Sales,Cohort 1 Hype/Sales Email,Mar 2025,How to study AI if you’re super busy,3/25/2025,14:25:10,10435,4180,40.06%,510,4.89%,12.20%,32,0.31,TRUE
Pre-Sales,Cohort 1 Hype/Sales Email,Mar 2025,Why people struggle to build effective AI agents,3/22/2025,14:25:04,10322,4059,39.32%,523,5.07%,12.88%,34,0.33,FALSE
Value,Value,Mar 2025,what is the future for coding and data science?,3/18/2025,15:36:02,10144,3956,39.00%,177,1.74%,4.47%,48,0.47,TRUE
Value,Value,Mar 2025,My 2025 AI learning roadmap,3/11/2025,13:27:38,8149,3258,39.98%,628,7.71%,19.28%,31,0.38,FALSE
Value,Value,Mar 2025,I’ve got a some questions for you {{ subscriber.first_name }},3/8/2025,17:55:51,9304,4059,43.63%,870,9.35%,21.43%,52,0.56,TRUE
Value,Value,Mar 2025,3 ways I use AI in my daily life,3/6/2025,17:17:05,9227,3501,37.94%,235,2.55%,6.71%,24,0.26,TRUE
Livestream,Livestream,Feb 2025,Are AI agents worth the hype?,2/28/2025,15:40:31,7218,2698,37.38%,255,3.53%,9.45%,33,0.46,TRUE
Livestream,Livestream,Feb 2025,Announcing my next AI workshop,2/26/2025,15:15:06,8536,3274,38.36%,552,6.47%,16.86%,39,0.46,TRUE
Value,Value,Feb 2025,To anyone feeling overwhelmed by AI,2/22/2025,15:52:15,8288,3347,40.38%,432,5.21%,12.91%,38,0.46,TRUE
